E_P_longicornis,Omega_P_longicornis,tau_stress_P_longicornis,tau_critical_P_longicornis,E_S_geminata,Omega_S_geminata,tau_stress_S_geminata,tau_critical_S_geminata,E_C_diversa,Omega_C_diversa,tau_stress_C_diversa,tau_critical_C_diversa,E_O_smaragdina,Omega_O_smaragdina,tau_stress_O_smaragdina,tau_critical_O_smaragdina,dominant,run_id,site
0.0,0.0,1.0,0.012434475192002926,0.01,0.003569444444444445,1.0,0.028057119871279162,0.0,0.0,1.0,0.1415617128463476,0.0,0.0,1.0,0.023835583120515626,S_geminata,37,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013393845472658844,0.01,0.002861111111111111,1.0,0.013389441469013007,0.0,0.0,1.0,0.16656925774400935,0.0,0.0,1.0,0.013661934101259042,S_geminata,38,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.018627112797516384,0.0,0.00011111111111111112,1.0,0.01675603217158177,0.0,0.0,1.0,0.11980108499095841,0.0,0.0,1.0,0.014462570866597246,P_longicornis,39,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.020748226187916576,0.01,0.0032222222222222227,1.0,0.013713080168776372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015570934256055362,S_geminata,40,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01768234922639722,0.0,0.0010138888888888888,1.0,0.017699115044247787,0.0,0.0,1.0,0.16339491916859122,0.0,0.0,1.0,0.01221517500587268,P_longicornis,41,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.02361946418808092,0.01,0.0018611111111111111,1.0,0.01537850977279492,0.0,0.0,1.0,0.15278688524590164,0.0,0.0,1.0,0.014501076812634602,S_geminata,42,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.011924662877521454,0.01,0.008907606282606282,1.0,0.01500489289985865,0.0,0.0,1.0,0.12680577849117175,0.0,0.0,1.0,0.013905884970519524,S_geminata,43,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.012141411736698013,0.01,0.004333333333333333,1.0,0.018048780487804877,0.0,0.0,1.0,0.11403853716083366,0.0,0.0,1.0,0.025140816046160187,S_geminata,44,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01618020304568528,0.0,0.0006388888888888889,1.0,0.012739502649816551,0.0,0.0,1.0,0.07838827838827839,0.0,0.0,1.0,0.013763968383755792,P_longicornis,45,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.020831049227058435,0.02,0.006263888888888888,1.0,0.023971617604755968,0.0,0.0,1.0,0.1669805398618958,0.0,0.0,1.0,0.016916384726921217,S_geminata,46,"Mac Arthur Hiway, Val."
